Job Role,Skills,Experience (Years),Education,Certifications,CGPA,Job Fit Score,Type,Source
Backend Developer,"Django, Spring Boot, GraphQL",8.3,B.Tech in Software Engineering,NA,7.17,38.11,credible,LinkedIn
Backend Developer,"GraphQL, Flask, Spring Boot",6.3,M.Tech in Software Systems,NA,6.89,30.87,credible,LinkedIn
System Administrator,"Linux, Bash Scripting, Firewall",3.6,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.21,41.68,credible,Glassdoor
Backend Developer,"GraphQL, Flask, Spring Boot",8.0,M.Tech in Software Systems,NA,7.44,39.52,credible,Indeed
Frontend Developer,"JavaScript, React, Angular",0.7,MS in UI/UX Design,NA,5.82,8.31,credible,Company Website
Business Analyst,"SQL, Data Analysis, Stakeholder Management",5.9,MBA in Data Analytics,Certified Business Analysis Professional,5.0,29.75,credible,Glassdoor
Data Scientist,"Machine Learning, Statistics, Python",3.1,BS in Data Science,AWS Machine Learning,9.17,56.11,credible,Glassdoor
Business Analyst,"Excel, Data Analysis, SQL",3.9,BBA in Business Analytics,Certified Business Analysis Professional,9.6,61.55,credible,Glassdoor
Database Administrator,"Database Optimization, SQL, PostgreSQL",9.0,BS in Database Management,Oracle Certified DBA,5.49,41.42,credible,Company Website
Cloud Engineer,"Terraform, DevOps, Azure",9.7,B.Tech in Computer Science,AWS Solutions Architect,7.36,58.13,credible,LinkedIn
System Administrator,"Bash Scripting, Networking, Firewall",2.1,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.56,40.73,credible,Company Website
DevOps Engineer,"AWS, Docker, CI/CD",5.4,MS in Cloud Computing,AWS Certified DevOps Engineer,8.4,55.7,credible,Company Website
Cybersecurity Analyst,"SIEM, Network Security, Ethical Hacking",5.1,MS in Information Security,CEH,6.96,43.43,credible,Indeed
Frontend Developer,"Vue.js, JavaScript, Angular",9.3,MS in UI/UX Design,NA,8.06,47.73,credible,Indeed
Product Manager,"Roadmap Planning, User Research, Scrum",2.9,MBA in Technology Management,Certified Scrum Product Owner,7.65,43.45,credible,Indeed
Business Analyst,"Tableau, Excel, Stakeholder Management",6.8,MBA in Data Analytics,Certified Business Analysis Professional,9.15,65.2,credible,Company Website
Product Manager,"Roadmap Planning, Agile, JIRA",6.4,MBA in Technology Management,Certified Scrum Product Owner,5.98,38.84,credible,LinkedIn
Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, SOC",0.1,MS in Information Security,CISSP,6.34,25.97,credible,LinkedIn
System Administrator,"Linux, Firewall, Bash Scripting",8.9,MS in Systems Engineering,Red Hat Certified Engineer,7.25,55.25,credible,Company Website
Data Scientist,"Deep Learning, Machine Learning, R",9.2,MS in Artificial Intelligence,TensorFlow Developer,6.56,50.48,credible,Company Website
Frontend Developer,"Angular, React, CSS",2.3,MS in UI/UX Design,NA,6.93,21.19,credible,Company Website
Data Scientist,"R, Python, Statistics",1.4,MS in Artificial Intelligence,TensorFlow Developer,8.26,44.58,credible,Glassdoor
Frontend Developer,"JavaScript, React, Angular",0.5,BS in Web Development,NA,7.51,21.33,credible,Glassdoor
Data Scientist,"Deep Learning, Statistics, Python",4.6,MS in Artificial Intelligence,AWS Machine Learning,8.39,53.62,credible,Indeed
Database Administrator,"MongoDB, Database Optimization, SQL",3.6,MS in Data Engineering,Oracle Certified DBA,8.45,51.6,credible,Indeed
DevOps Engineer,"Docker, AWS, CI/CD",8.2,B.Tech in Information Technology,AWS Certified DevOps Engineer,5.79,41.82,credible,Indeed
DevOps Engineer,"AWS, Kubernetes, Docker",5.5,MS in Cloud Computing,Docker Certified Associate,6.69,42.27,credible,Company Website
System Administrator,"Windows Server, Bash Scripting, Firewall",4.7,BS in IT Administration,Red Hat Certified Engineer,6.39,37.87,credible,Glassdoor
Data Scientist,"Statistics, R, Machine Learning",0.9,BS in Data Science,TensorFlow Developer,7.63,38.29,credible,LinkedIn
Cloud Engineer,"Azure, AWS, Terraform",1.3,MS in Cloud Computing,AWS Solutions Architect,7.5,38.25,credible,Company Website
Cloud Engineer,"Google Cloud, Terraform, AWS",5.3,MS in Cloud Computing,AWS Solutions Architect,9.11,61.13,credible,Indeed
Product Manager,"Roadmap Planning, Scrum, User Research",6.0,BBA in Product Management,Certified Scrum Product Owner,7.12,46.96,credible,Company Website
Full Stack Developer,"MongoDB, Node.js, React",10.9,MS in Full Stack Development,NA,6.5,39.25,credible,Indeed
Product Manager,"Roadmap Planning, Scrum, User Research",1.7,BBA in Product Management,Certified Scrum Product Owner,7.55,39.65,credible,Indeed
Cloud Engineer,"AWS, DevOps, Terraform",6.0,MS in Cloud Computing,AWS Solutions Architect,6.58,42.64,credible,Company Website
Cybersecurity Analyst,"SIEM, SOC, Network Security",6.7,MS in Information Security,CompTIA Security+,6.07,40.31,credible,Company Website
Database Administrator,"PostgreSQL, Database Optimization, MySQL",7.8,MS in Data Engineering,Oracle Certified DBA,7.65,55.7,credible,Glassdoor
Product Manager,"Agile, User Research, JIRA",6.3,MBA in Technology Management,Certified Scrum Product Owner,9.93,70.19,credible,Company Website
Backend Developer,"Django, GraphQL, Node.js",3.9,M.Tech in Software Systems,NA,7.9,32.95,credible,Glassdoor
Software Engineer,"C++, Python, Java",2.7,BS in Software Engineering,NA,7.28,24.99,credible,Company Website
Software Engineer,"Python, Algorithms, Java",8.2,B.Tech in Computer Science,NA,8.4,47.7,credible,Indeed
Business Analyst,"SQL, Data Analysis, Excel",5.5,MBA in Data Analytics,Certified Business Analysis Professional,8.77,58.91,credible,Company Website
Embedded Software Engineer,"C++, Microcontrollers, IoT",9.8,MS in IoT,ARM Certified Embedded Developer,7.12,56.46,credible,Company Website
Frontend Developer,"React, CSS, Vue.js",0.7,MS in UI/UX Design,NA,7.28,19.99,credible,LinkedIn
System Administrator,"Bash Scripting, Windows Server, Networking",1.6,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.81,41.48,credible,LinkedIn
Data Scientist,"R, Machine Learning, Statistics",6.3,PhD in Machine Learning,AWS Machine Learning,6.08,39.39,credible,Glassdoor
Product Manager,"JIRA, Agile, Roadmap Planning",2.4,BBA in Product Management,Certified Scrum Product Owner,8.4,48.2,credible,Glassdoor
Embedded Software Engineer,"C++, IoT, C",6.3,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.86,53.63,credible,Company Website
AI/ML Engineer,"TensorFlow, NLP, Computer Vision",1.6,MS in Deep Learning,Deep Learning Specialization,8.43,46.44,credible,Indeed
Frontend Developer,"React, Angular, CSS",8.7,BS in Web Development,NA,7.97,45.51,credible,Glassdoor
QA Engineer,"Selenium, JUnit, Bug Tracking",2.1,MS in Software Testing,ISTQB,9.08,52.89,credible,LinkedIn
Full Stack Developer,"React, Django, MongoDB",7.7,B.Tech in Computer Applications,NA,7.16,36.53,credible,Glassdoor
Business Analyst,"Data Analysis, Excel, SQL",1.9,BBA in Business Analytics,Certified Business Analysis Professional,5.81,26.23,credible,LinkedIn
Cloud Engineer,"Google Cloud, Azure, Terraform",0.3,MS in Cloud Computing,Azure Fundamentals,7.05,32.15,credible,Company Website
Cloud Engineer,"DevOps, AWS, Terraform",2.7,B.Tech in Computer Science,AWS Solutions Architect,8.02,45.91,credible,Glassdoor
Data Scientist,"Python, Statistics, R",4.6,MS in Artificial Intelligence,TensorFlow Developer,5.72,32.26,credible,LinkedIn
Product Manager,"Scrum, JIRA, Agile",4.2,MBA in Technology Management,Certified Scrum Product Owner,8.16,50.78,credible,Company Website
AI/ML Engineer,"Reinforcement Learning, PyTorch, TensorFlow",6.6,PhD in AI,Google Professional ML Engineer,9.18,64.94,credible,LinkedIn
Frontend Developer,"React, Vue.js, Angular",6.1,BS in Web Development,NA,8.15,40.45,credible,Company Website
Backend Developer,"Django, Spring Boot, Node.js",0.0,M.Tech in Software Systems,NA,8.68,29.44,credible,Glassdoor
System Administrator,"Linux, Windows Server, Bash Scripting",8.0,BS in IT Administration,Red Hat Certified Engineer,8.08,59.64,credible,LinkedIn
Frontend Developer,"CSS, React, Angular",9.0,MS in UI/UX Design,NA,5.72,28.26,credible,Company Website
Cybersecurity Analyst,"Penetration Testing, Network Security, SIEM",4.3,BS in Cybersecurity,CEH,8.2,51.35,credible,LinkedIn
DevOps Engineer,"AWS, Docker, Terraform",6.0,B.Tech in Information Technology,Docker Certified Associate,8.13,55.04,credible,LinkedIn
Software Engineer,"Java, Data Structures, Algorithms",8.8,BS in Software Engineering,NA,7.85,44.8,credible,Glassdoor
Cloud Engineer,"Azure, AWS, DevOps",5.0,MS in Cloud Computing,Azure Fundamentals,8.58,56.14,credible,LinkedIn
Business Analyst,"Stakeholder Management, Excel, SQL",1.7,MBA in Data Analytics,Certified Business Analysis Professional,5.0,19.25,credible,Indeed
Product Manager,"JIRA, Roadmap Planning, User Research",5.5,BBA in Product Management,Certified Scrum Product Owner,6.66,42.03,credible,Company Website
Embedded Software Engineer,"C, Microcontrollers, C++",3.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,6.43,35.19,credible,Indeed
Product Manager,"User Research, Agile, Scrum",5.2,BBA in Product Management,Certified Scrum Product Owner,6.78,42.24,credible,LinkedIn
Backend Developer,"Node.js, Flask, Spring Boot",9.9,M.Tech in Software Systems,NA,9.97,64.51,credible,Company Website
QA Engineer,"Bug Tracking, Selenium, JUnit",5.7,B.Tech in Computer Science,ISTQB,6.6,42.05,credible,Indeed
Backend Developer,"Flask, Spring Boot, Node.js",6.3,B.Tech in Software Engineering,NA,5.35,18.55,credible,Indeed
Cloud Engineer,"Azure, DevOps, AWS",0.0,MS in Cloud Computing,AWS Solutions Architect,9.58,51.64,credible,Glassdoor
Frontend Developer,"JavaScript, React, CSS",9.2,BS in Web Development,NA,8.99,54.92,credible,Indeed
Data Scientist,"Machine Learning, Statistics, Deep Learning",5.9,BS in Data Science,TensorFlow Developer,7.57,50.31,credible,LinkedIn
Software Engineer,"Python, C++, Algorithms",10.4,M.Tech in Computer Science,NA,8.56,54.48,credible,Glassdoor
Product Manager,"User Research, Scrum, Agile",4.3,BBA in Product Management,Certified Scrum Product Owner,7.54,46.07,credible,LinkedIn
Database Administrator,"PostgreSQL, SQL, Database Optimization",6.3,MS in Data Engineering,Oracle Certified DBA,7.84,53.47,credible,Glassdoor
AI/ML Engineer,"TensorFlow, Computer Vision, PyTorch",2.1,BS in AI & ML,Google Professional ML Engineer,6.29,30.57,credible,Indeed
Cloud Engineer,"Terraform, DevOps, Azure",3.9,MS in Cloud Computing,Azure Fundamentals,6.97,40.51,credible,Indeed
Product Manager,"Scrum, Agile, Roadmap Planning",4.8,BBA in Product Management,Certified Scrum Product Owner,8.25,53.0,credible,Indeed
AI/ML Engineer,"NLP, Computer Vision, Reinforcement Learning",4.0,BS in AI & ML,Google Professional ML Engineer,6.85,39.8,credible,Company Website
Cloud Engineer,"Google Cloud, Terraform, AWS",10.9,MS in Cloud Computing,AWS Solutions Architect,8.26,68.33,credible,Glassdoor
Frontend Developer,"Angular, JavaScript, CSS",5.7,MS in UI/UX Design,NA,8.16,39.53,credible,Glassdoor
Data Scientist,"R, Deep Learning, Statistics",3.7,BS in Data Science,TensorFlow Developer,7.53,44.49,credible,LinkedIn
System Administrator,"Linux, Bash Scripting, Networking",4.5,BS in IT Administration,Red Hat Certified Engineer,7.7,47.85,credible,Indeed
DevOps Engineer,"Docker, CI/CD, AWS",3.7,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.95,39.85,credible,LinkedIn
Full Stack Developer,"React, MongoDB, Node.js",6.4,B.Tech in Computer Applications,NA,8.62,44.96,credible,Company Website
QA Engineer,"JIRA, Test Automation, JUnit",6.9,B.Tech in Computer Science,Certified Selenium Tester,7.66,53.53,credible,Glassdoor
Business Analyst,"Data Analysis, Tableau, Excel",4.8,BBA in Business Analytics,Certified Business Analysis Professional,8.72,56.76,credible,Indeed
Database Administrator,"MongoDB, MySQL, PostgreSQL",3.4,BS in Database Management,AWS Database Specialty,6.3,33.9,credible,Glassdoor
AI/ML Engineer,"TensorFlow, Computer Vision, Reinforcement Learning",2.4,MS in Deep Learning,Google Professional ML Engineer,6.53,33.24,credible,Indeed
Business Analyst,"SQL, Tableau, Excel",5.5,BBA in Business Analytics,Certified Business Analysis Professional,7.16,46.03,credible,Glassdoor
System Administrator,"Firewall, Linux, Windows Server",3.3,BS in IT Administration,Microsoft Certified Solutions Expert,8.02,47.41,credible,Company Website
Product Manager,"JIRA, User Research, Roadmap Planning",0.0,MBA in Technology Management,Certified Scrum Product Owner,6.25,25.0,credible,Indeed
System Administrator,"Linux, Firewall, Networking",4.8,MS in Systems Engineering,Red Hat Certified Engineer,5.78,33.24,credible,LinkedIn
Frontend Developer,"React, CSS, JavaScript",6.8,BS in Web Development,NA,8.92,48.36,credible,Glassdoor
Software Engineer,"Data Structures, Java, C++",5.6,BS in Software Engineering,NA,9.39,49.12,credible,Company Website
Backend Developer,"Django, Node.js, Flask",3.1,M.Tech in Software Systems,NA,5.65,12.95,credible,Company Website
Cybersecurity Analyst,"SIEM, Ethical Hacking, Network Security",8.4,MS in Information Security,CEH,6.88,51.04,credible,Company Website
Embedded Software Engineer,"C++, RTOS, Microcontrollers",0.0,MS in IoT,ARM Certified Embedded Developer,6.76,29.08,credible,LinkedIn
DevOps Engineer,"Terraform, CI/CD, Docker",5.2,B.Tech in Information Technology,Docker Certified Associate,6.72,41.76,credible,LinkedIn
AI/ML Engineer,"Computer Vision, NLP, PyTorch",2.4,BS in AI & ML,Deep Learning Specialization,7.33,39.64,credible,Glassdoor
Full Stack Developer,"React, Express, Django",8.9,MS in Full Stack Development,NA,7.36,41.13,credible,Indeed
System Administrator,"Networking, Windows Server, Linux",7.5,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.4,52.95,credible,LinkedIn
Software Engineer,"Python, C++, Java",3.6,M.Tech in Computer Science,NA,8.85,39.8,credible,Company Website
Embedded Software Engineer,"Microcontrollers, RTOS, C++",5.9,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.13,54.79,credible,Glassdoor
Embedded Software Engineer,"RTOS, IoT, C",9.4,MS in IoT,ARM Certified Embedded Developer,6.9,53.7,credible,Company Website
DevOps Engineer,"Kubernetes, Terraform, AWS",5.7,MS in Cloud Computing,Docker Certified Associate,8.38,56.29,credible,Indeed
QA Engineer,"Selenium, Test Automation, Bug Tracking",2.5,B.Tech in Computer Science,Certified Selenium Tester,7.92,44.61,credible,Glassdoor
Database Administrator,"SQL, MongoDB, MySQL",4.0,BS in Database Management,Oracle Certified DBA,7.45,44.6,credible,Company Website
Database Administrator,"Database Optimization, MySQL, PostgreSQL",6.4,MS in Data Engineering,AWS Database Specialty,9.32,65.56,credible,Indeed
Cloud Engineer,"DevOps, Azure, AWS",1.2,B.Tech in Computer Science,AWS Solutions Architect,5.94,25.52,credible,LinkedIn
Backend Developer,"Spring Boot, Node.js, Django",3.4,B.Tech in Software Engineering,NA,8.9,39.7,credible,Indeed
DevOps Engineer,"CI/CD, Terraform, AWS",6.1,B.Tech in Information Technology,AWS Certified DevOps Engineer,7.12,47.21,credible,Company Website
Backend Developer,"GraphQL, Flask, Node.js",1.5,M.Tech in Software Systems,NA,5.5,7.75,credible,Glassdoor
Business Analyst,"SQL, Data Analysis, Excel",6.7,BBA in Business Analytics,Certified Business Analysis Professional,5.72,37.51,credible,Company Website
DevOps Engineer,"Docker, Terraform, CI/CD",6.1,MS in Cloud Computing,Docker Certified Associate,7.54,50.57,credible,Company Website
Database Administrator,"MySQL, SQL, Database Optimization",0.0,MS in Data Engineering,Oracle Certified DBA,7.52,35.16,credible,Indeed
Embedded Software Engineer,"C++, C, RTOS",3.2,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.33,41.64,credible,LinkedIn
QA Engineer,"JUnit, Bug Tracking, Selenium",2.5,B.Tech in Computer Science,Certified Selenium Tester,6.9,36.45,credible,Company Website
Embedded Software Engineer,"IoT, C, C++",4.9,MS in IoT,ARM Certified Embedded Developer,5.99,35.17,credible,LinkedIn
System Administrator,"Linux, Networking, Firewall",0.1,BS in IT Administration,Microsoft Certified Solutions Expert,7.17,32.61,credible,Glassdoor
DevOps Engineer,"Kubernetes, CI/CD, Terraform",4.1,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.13,34.29,credible,Glassdoor
Data Scientist,"Python, Statistics, Deep Learning",9.2,BS in Data Science,TensorFlow Developer,6.33,48.64,credible,Indeed
Full Stack Developer,"Django, MongoDB, Node.js",11.2,MS in Full Stack Development,NA,7.27,46.16,credible,Company Website
Data Scientist,"Statistics, Machine Learning, Deep Learning",10.1,PhD in Machine Learning,AWS Machine Learning,6.51,52.33,credible,Glassdoor
System Administrator,"Linux, Windows Server, Networking",6.1,MS in Systems Engineering,Red Hat Certified Engineer,7.18,47.69,credible,Glassdoor
Cloud Engineer,"AWS, Terraform, Azure",5.2,B.Tech in Computer Science,AWS Solutions Architect,8.83,58.64,credible,Company Website
Backend Developer,"Spring Boot, GraphQL, Django",3.7,M.Tech in Software Systems,NA,5.0,9.25,credible,Indeed
Business Analyst,"Data Analysis, Tableau, Stakeholder Management",10.0,MBA in Data Analytics,Certified Business Analysis Professional,7.39,59.12,credible,Indeed
Full Stack Developer,"Node.js, MongoDB, Django",8.1,B.Tech in Computer Applications,NA,9.05,52.65,credible,Glassdoor
Software Engineer,"Java, Algorithms, C++",0.0,M.Tech in Computer Science,NA,7.83,22.64,credible,Company Website
Full Stack Developer,"MongoDB, React, Django",5.0,B.Tech in Computer Applications,NA,5.34,15.22,credible,LinkedIn
Database Administrator,"MongoDB, PostgreSQL, Database Optimization",12.5,MS in Data Engineering,Oracle Certified DBA,7.19,63.77,credible,Indeed
Frontend Developer,"React, CSS, Angular",8.1,BS in Web Development,NA,8.89,51.37,credible,Company Website
Software Engineer,"C++, Algorithms, Data Structures",3.0,M.Tech in Computer Science,NA,9.01,39.58,credible,LinkedIn
Frontend Developer,"Vue.js, React, Angular",4.9,BS in Web Development,NA,6.78,26.49,credible,LinkedIn
Backend Developer,"Django, Flask, GraphQL",7.2,B.Tech in Software Engineering,NA,9.61,54.88,credible,LinkedIn
Database Administrator,"MySQL, MongoDB, SQL",2.9,BS in Database Management,Oracle Certified DBA,9.33,56.89,credible,Indeed
Data Scientist,"Statistics, R, Machine Learning",3.4,BS in Data Science,AWS Machine Learning,7.84,46.22,credible,Glassdoor
Frontend Developer,"CSS, React, JavaScript",3.2,MS in UI/UX Design,NA,6.44,19.52,credible,Glassdoor
AI/ML Engineer,"PyTorch, Reinforcement Learning, Computer Vision",3.5,PhD in AI,Deep Learning Specialization,7.8,46.15,credible,Glassdoor
Database Administrator,"Database Optimization, MySQL, SQL",6.1,MS in Data Engineering,AWS Database Specialty,6.11,39.13,credible,Indeed
Backend Developer,"Django, Flask, Spring Boot",5.1,M.Tech in Software Systems,NA,7.09,29.47,credible,Company Website
Database Administrator,"PostgreSQL, Database Optimization, SQL",1.0,MS in Data Engineering,AWS Database Specialty,5.95,25.1,credible,LinkedIn
Full Stack Developer,"Node.js, Django, Express",6.0,MS in Full Stack Development,NA,8.35,41.8,credible,Company Website
Cloud Engineer,"DevOps, Terraform, Azure",4.4,B.Tech in Computer Science,AWS Solutions Architect,7.98,49.84,credible,Company Website
System Administrator,"Firewall, Networking, Linux",6.7,BS in IT Administration,Red Hat Certified Engineer,5.72,37.51,credible,LinkedIn
Software Engineer,"Python, Algorithms, C++",6.2,B.Tech in Computer Science,NA,5.73,21.34,credible,Company Website
Database Administrator,"SQL, MySQL, Database Optimization",5.1,BS in Database Management,AWS Database Specialty,6.87,42.71,credible,Company Website
Business Analyst,"Tableau, SQL, Stakeholder Management",5.3,MBA in Data Analytics,Certified Business Analysis Professional,8.96,59.93,credible,Indeed
DevOps Engineer,"CI/CD, AWS, Kubernetes",3.6,B.Tech in Information Technology,AWS Certified DevOps Engineer,7.74,45.92,credible,Company Website
Embedded Software Engineer,"C++, RTOS, Microcontrollers",11.9,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.13,61.79,credible,LinkedIn
Business Analyst,"Excel, Stakeholder Management, Data Analysis",6.6,MBA in Data Analytics,Certified Business Analysis Professional,9.4,66.7,credible,Indeed
Database Administrator,"Database Optimization, PostgreSQL, SQL",7.9,BS in Database Management,AWS Database Specialty,8.39,61.87,credible,Indeed
QA Engineer,"JUnit, Selenium, JIRA",5.0,MS in Software Testing,Certified Selenium Tester,7.75,49.5,credible,Glassdoor
Data Scientist,"Deep Learning, Statistics, Machine Learning",8.7,MS in Artificial Intelligence,AWS Machine Learning,7.28,54.99,credible,LinkedIn
DevOps Engineer,"Docker, Terraform, Kubernetes",7.5,B.Tech in Information Technology,Docker Certified Associate,8.02,57.91,credible,Glassdoor
Database Administrator,"Database Optimization, PostgreSQL, MongoDB",8.7,MS in Data Engineering,AWS Database Specialty,7.23,54.59,credible,LinkedIn
AI/ML Engineer,"TensorFlow, NLP, Computer Vision",7.2,BS in AI & ML,Google Professional ML Engineer,7.97,56.76,credible,Company Website
DevOps Engineer,"AWS, Kubernetes, Docker",5.2,MS in Cloud Computing,Docker Certified Associate,7.36,46.88,credible,Glassdoor
Data Scientist,"Deep Learning, R, Machine Learning",5.3,PhD in Machine Learning,AWS Machine Learning,6.88,43.29,credible,Glassdoor
Software Engineer,"C++, Data Structures, Algorithms",0.9,B.Tech in Computer Science,NA,8.56,30.73,credible,Glassdoor
Backend Developer,"Flask, Django, Node.js",1.8,M.Tech in Software Systems,NA,8.41,31.78,credible,Company Website
Business Analyst,"Data Analysis, Stakeholder Management, Tableau",8.6,BBA in Business Analytics,Certified Business Analysis Professional,9.38,71.54,credible,LinkedIn
System Administrator,"Networking, Firewall, Linux",1.5,BS in IT Administration,Red Hat Certified Engineer,9.13,51.79,credible,Glassdoor
Software Engineer,"Algorithms, Data Structures, Java",8.7,BS in Software Engineering,NA,7.55,42.15,credible,Indeed
Database Administrator,"Database Optimization, MongoDB, PostgreSQL",0.0,MS in Data Engineering,Oracle Certified DBA,6.93,30.44,credible,Glassdoor
AI/ML Engineer,"Reinforcement Learning, TensorFlow, PyTorch",6.7,PhD in AI,Google Professional ML Engineer,6.86,46.63,credible,Company Website
Embedded Software Engineer,"IoT, Microcontrollers, C++",5.4,MS in IoT,ARM Certified Embedded Developer,6.77,42.66,credible,Glassdoor
AI/ML Engineer,"NLP, PyTorch, Reinforcement Learning",9.8,BS in AI & ML,Google Professional ML Engineer,5.93,46.94,credible,Glassdoor
Backend Developer,"Django, Node.js, Spring Boot",9.3,M.Tech in Software Systems,NA,8.49,51.17,credible,Indeed
AI/ML Engineer,"Reinforcement Learning, NLP, PyTorch",0.0,MS in Deep Learning,Deep Learning Specialization,6.24,24.92,credible,LinkedIn
Product Manager,"Roadmap Planning, Agile, User Research",7.5,BBA in Product Management,Certified Scrum Product Owner,6.71,47.43,credible,LinkedIn
Software Engineer,"Python, Data Structures, C++",5.9,BS in Software Engineering,NA,7.39,33.87,credible,Glassdoor
Software Engineer,"C++, Data Structures, Java",7.7,BS in Software Engineering,NA,7.55,39.65,credible,Company Website
Frontend Developer,"Vue.js, React, Angular",1.7,MS in UI/UX Design,NA,8.93,35.69,credible,LinkedIn
Cloud Engineer,"Terraform, Google Cloud, DevOps",5.7,MS in Cloud Computing,Azure Fundamentals,7.89,52.37,credible,Indeed
Backend Developer,"Django, Node.js, Spring Boot",2.5,M.Tech in Software Systems,NA,7.44,25.77,credible,LinkedIn
Cloud Engineer,"DevOps, Azure, AWS",7.1,MS in Cloud Computing,Azure Fundamentals,7.4,51.95,credible,Glassdoor
Backend Developer,"Django, Node.js, GraphQL",4.3,B.Tech in Software Engineering,NA,6.07,19.31,credible,Company Website
Cloud Engineer,"AWS, DevOps, Azure",4.9,MS in Cloud Computing,Azure Fundamentals,5.79,33.57,credible,LinkedIn
Cybersecurity Analyst,"Ethical Hacking, Network Security, SOC",4.0,BS in Cybersecurity,CompTIA Security+,7.56,45.48,credible,Indeed
Product Manager,"JIRA, Agile, User Research",10.9,BBA in Product Management,Certified Scrum Product Owner,7.68,63.69,credible,LinkedIn
System Administrator,"Windows Server, Networking, Firewall",1.0,BS in IT Administration,Red Hat Certified Engineer,6.2,27.1,credible,Indeed
Data Scientist,"Statistics, Machine Learning, R",5.7,BS in Data Science,AWS Machine Learning,6.87,44.21,credible,Glassdoor
Embedded Software Engineer,"RTOS, C, C++",3.5,MS in IoT,ARM Certified Embedded Developer,6.08,32.39,credible,Company Website
AI/ML Engineer,"Computer Vision, PyTorch, Reinforcement Learning",5.1,BS in AI & ML,Google Professional ML Engineer,9.09,60.47,credible,Glassdoor
Full Stack Developer,"MongoDB, Django, Express",4.3,MS in Full Stack Development,NA,6.36,21.63,credible,Indeed
Data Scientist,"Machine Learning, Deep Learning, R",4.1,MS in Artificial Intelligence,TensorFlow Developer,7.59,45.97,credible,Company Website
Product Manager,"Roadmap Planning, User Research, Agile",5.4,BBA in Product Management,Certified Scrum Product Owner,7.58,49.14,credible,Company Website
Database Administrator,"Database Optimization, MongoDB, MySQL",6.3,MS in Data Engineering,Oracle Certified DBA,5.24,32.67,credible,LinkedIn
System Administrator,"Linux, Firewall, Networking",5.9,MS in Systems Engineering,Microsoft Certified Solutions Expert,6.38,40.79,credible,Indeed
Cloud Engineer,"Google Cloud, DevOps, Azure",8.6,B.Tech in Computer Science,Azure Fundamentals,6.25,46.5,credible,LinkedIn
Business Analyst,"Data Analysis, Tableau, Stakeholder Management",0.0,MBA in Data Analytics,Certified Business Analysis Professional,7.03,31.24,credible,Glassdoor
DevOps Engineer,"CI/CD, Kubernetes, Terraform",9.1,MS in Cloud Computing,AWS Certified DevOps Engineer,6.86,52.63,credible,Indeed
DevOps Engineer,"Docker, Kubernetes, CI/CD",0.0,MS in Cloud Computing,AWS Certified DevOps Engineer,9.91,54.28,credible,Indeed
Database Administrator,"MySQL, PostgreSQL, Database Optimization",5.0,BS in Database Management,AWS Database Specialty,7.21,45.18,credible,Company Website
Frontend Developer,"Vue.js, CSS, Angular",3.2,BS in Web Development,NA,7.77,30.16,credible,LinkedIn
AI/ML Engineer,"NLP, Computer Vision, TensorFlow",2.2,BS in AI & ML,Deep Learning Specialization,6.23,30.34,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, SOC, Network Security",7.7,MS in Information Security,CompTIA Security+,6.52,46.41,credible,Glassdoor
Backend Developer,"Flask, Node.js, Django",2.3,M.Tech in Software Systems,NA,5.79,12.07,credible,Glassdoor
Cybersecurity Analyst,"SIEM, Penetration Testing, Ethical Hacking",1.7,MS in Information Security,CompTIA Security+,6.92,34.61,credible,Company Website
Business Analyst,"Data Analysis, Tableau, SQL",2.1,BBA in Business Analytics,Certified Business Analysis Professional,8.94,51.77,credible,Glassdoor
Data Scientist,"Deep Learning, Machine Learning, R",2.6,BS in Data Science,AWS Machine Learning,6.71,35.18,credible,Company Website
Cybersecurity Analyst,"SOC, Network Security, Ethical Hacking",2.8,MS in Information Security,CISSP,6.31,32.48,credible,LinkedIn
AI/ML Engineer,"PyTorch, Reinforcement Learning, NLP",4.7,MS in Deep Learning,Google Professional ML Engineer,7.64,47.87,credible,LinkedIn
Database Administrator,"PostgreSQL, SQL, Database Optimization",2.4,MS in Data Engineering,Oracle Certified DBA,6.93,36.44,credible,LinkedIn
Data Scientist,"Statistics, Python, Deep Learning",2.8,BS in Data Science,AWS Machine Learning,7.54,42.32,credible,Indeed
System Administrator,"Bash Scripting, Linux, Firewall",7.6,BS in IT Administration,Red Hat Certified Engineer,10.0,74.0,credible,Indeed
Backend Developer,"Node.js, Spring Boot, Flask",5.7,M.Tech in Software Systems,NA,9.75,52.25,credible,LinkedIn
DevOps Engineer,"Terraform, AWS, Kubernetes",1.7,MS in Cloud Computing,AWS Certified DevOps Engineer,6.26,29.33,credible,LinkedIn
