Job Role,Skills,Experience (Years),Education,Certifications,CGPA,Job Fit Score,Type,Source
Cybersecurity Analyst,"Network Security, Ethical Hacking, SOC",1.4,MS in Information Security,CISSP,7.49,11.03,credible,Glassdoor
Frontend Developer,"React, Angular, Vue.js",9.5,BS in Web Development,NA,8.48,14.24,credible,Glassdoor
Data Scientist,"R, Machine Learning, Python",6.2,MS in Artificial Intelligence,TensorFlow Developer,8.05,14.63,credible,LinkedIn
Frontend Developer,"Vue.js, CSS, React",5.4,MS in UI/UX Design,NA,6.85,7.71,credible,Glassdoor
Cloud Engineer,"Azure, Terraform, AWS",4.9,MS in Cloud Computing,AWS Solutions Architect,7.68,13.0,credible,Indeed
Cybersecurity Analyst,"SOC, Penetration Testing, SIEM",1.7,MS in Information Security,CompTIA Security+,6.86,9.26,credible,LinkedIn
Software Engineer,"Algorithms, Python, Data Structures",7.0,BS in Software Engineering,NA,5.63,4.69,credible,Company Website
Backend Developer,"Flask, Spring Boot, Django",4.0,M.Tech in Software Systems,NA,9.22,14.26,credible,Company Website
DevOps Engineer,"Docker, AWS, CI/CD",5.6,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.48,9.68,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, Network Security, SIEM",8.7,MS in Information Security,CEH,6.35,10.53,credible,Indeed
System Administrator,"Firewall, Networking, Windows Server",4.0,MS in Systems Engineering,Red Hat Certified Engineer,7.41,11.83,credible,Glassdoor
Frontend Developer,"JavaScript, CSS, Angular",4.1,BS in Web Development,NA,6.1,4.94,credible,LinkedIn
AI/ML Engineer,"NLP, Computer Vision, TensorFlow",3.0,BS in AI & ML,Google Professional ML Engineer,7.87,12.81,credible,Glassdoor
Embedded Software Engineer,"C++, C, IoT",3.8,MS in IoT,ARM Certified Embedded Developer,8.39,14.69,credible,Indeed
Backend Developer,"Django, Spring Boot, GraphQL",10.5,B.Tech in Software Engineering,NA,7.5,11.7,credible,LinkedIn
Cloud Engineer,"Azure, AWS, Google Cloud",5.0,MS in Cloud Computing,AWS Solutions Architect,7.72,13.16,credible,LinkedIn
Frontend Developer,"CSS, React, Angular",0.5,MS in UI/UX Design,NA,7.24,6.92,credible,Company Website
Backend Developer,"Django, Node.js, GraphQL",4.5,B.Tech in Software Engineering,NA,8.47,12.21,credible,Indeed
Business Analyst,"SQL, Tableau, Data Analysis",4.6,BBA in Business Analytics,Certified Business Analysis Professional,7.05,10.99,credible,Indeed
Product Manager,"Roadmap Planning, Agile, Scrum",8.7,BBA in Product Management,Certified Scrum Product Owner,6.17,9.99,credible,Glassdoor
Product Manager,"Roadmap Planning, JIRA, Agile",4.3,MBA in Technology Management,Certified Scrum Product Owner,5.73,6.91,credible,Glassdoor
Cloud Engineer,"DevOps, Terraform, AWS",7.2,B.Tech in Computer Science,AWS Solutions Architect,8.37,15.99,credible,LinkedIn
Frontend Developer,"Vue.js, Angular, JavaScript",4.0,BS in Web Development,NA,9.85,16.15,credible,Glassdoor
Frontend Developer,"CSS, Vue.js, React",5.8,MS in UI/UX Design,NA,8.67,13.33,credible,Glassdoor
Full Stack Developer,"Django, React, MongoDB",5.6,MS in Full Stack Development,NA,6.74,7.46,credible,Indeed
Embedded Software Engineer,"C, C++, IoT",11.0,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.63,15.29,credible,Indeed
Business Analyst,"Excel, Data Analysis, SQL",4.3,BBA in Business Analytics,Certified Business Analysis Professional,6.9,10.42,credible,Company Website
Software Engineer,"C++, Python, Algorithms",0.1,M.Tech in Computer Science,NA,5.69,2.11,credible,Company Website
Product Manager,"Roadmap Planning, Scrum, User Research",4.6,MBA in Technology Management,Certified Scrum Product Owner,5.67,6.85,credible,Indeed
DevOps Engineer,"AWS, Kubernetes, CI/CD",1.9,MS in Cloud Computing,AWS Certified DevOps Engineer,7.36,10.84,credible,LinkedIn
Full Stack Developer,"MongoDB, Express, Django",4.3,B.Tech in Computer Applications,NA,7.8,10.12,credible,Company Website
Software Engineer,"Java, Python, Data Structures",0.0,BS in Software Engineering,NA,7.49,7.47,credible,LinkedIn
AI/ML Engineer,"TensorFlow, PyTorch, NLP",0.4,BS in AI & ML,Deep Learning Specialization,6.36,7.24,credible,Company Website
Data Scientist,"Deep Learning, R, Machine Learning",8.0,PhD in Machine Learning,AWS Machine Learning,5.25,6.95,credible,LinkedIn
DevOps Engineer,"Terraform, CI/CD, Docker",3.8,MS in Cloud Computing,AWS Certified DevOps Engineer,7.29,11.39,credible,LinkedIn
Software Engineer,"Java, Algorithms, Python",4.4,B.Tech in Computer Science,NA,8.15,11.21,credible,Indeed
System Administrator,"Linux, Bash Scripting, Windows Server",3.6,MS in Systems Engineering,Red Hat Certified Engineer,6.2,8.04,credible,Company Website
Embedded Software Engineer,"Microcontrollers, RTOS, IoT",7.4,B.Tech in Embedded Systems,ARM Certified Embedded Developer,5.52,7.52,credible,Glassdoor
Frontend Developer,"Angular, Vue.js, JavaScript",6.4,MS in UI/UX Design,NA,7.92,11.32,credible,Indeed
System Administrator,"Networking, Linux, Firewall",4.9,BS in IT Administration,Red Hat Certified Engineer,9.0,16.96,credible,LinkedIn
AI/ML Engineer,"TensorFlow, NLP, Computer Vision",4.6,MS in Deep Learning,Google Professional ML Engineer,7.88,13.48,credible,Glassdoor
Cybersecurity Analyst,"SOC, SIEM, Network Security",5.3,MS in Information Security,CISSP,6.56,9.8,credible,Indeed
Product Manager,"Scrum, JIRA, Agile",5.8,MBA in Technology Management,Certified Scrum Product Owner,6.73,10.51,credible,Company Website
QA Engineer,"Selenium, JUnit, Test Automation",6.7,MS in Software Testing,Certified Selenium Tester,7.14,12.1,credible,Glassdoor
Product Manager,"User Research, Roadmap Planning, JIRA",15.7,MBA in Technology Management,Certified Scrum Product Owner,8.37,19.39,credible,Indeed
Embedded Software Engineer,"Microcontrollers, C, IoT",3.9,B.Tech in Embedded Systems,ARM Certified Embedded Developer,6.1,7.86,credible,Glassdoor
Frontend Developer,"React, Vue.js, CSS",4.4,BS in Web Development,NA,7.99,10.73,credible,Company Website
DevOps Engineer,"Terraform, Docker, Kubernetes",5.1,B.Tech in Information Technology,AWS Certified DevOps Engineer,7.47,12.45,credible,LinkedIn
Cloud Engineer,"Terraform, Azure, Google Cloud",7.8,MS in Cloud Computing,AWS Solutions Architect,5.55,7.77,credible,Glassdoor
AI/ML Engineer,"Reinforcement Learning, TensorFlow, Computer Vision",3.5,BS in AI & ML,Google Professional ML Engineer,9.0,16.4,credible,LinkedIn
AI/ML Engineer,"PyTorch, Computer Vision, Reinforcement Learning",10.7,PhD in AI,Deep Learning Specialization,8.2,16.88,credible,Indeed
Frontend Developer,"Angular, JavaScript, React",8.0,MS in UI/UX Design,NA,5.85,5.75,credible,Glassdoor
DevOps Engineer,"Docker, Kubernetes, AWS",0.4,B.Tech in Information Technology,AWS Certified DevOps Engineer,8.68,14.2,credible,Indeed
Embedded Software Engineer,"C++, C, IoT",10.9,MS in IoT,ARM Certified Embedded Developer,7.14,13.78,credible,Indeed
Business Analyst,"SQL, Tableau, Data Analysis",0.0,BBA in Business Analytics,Certified Business Analysis Professional,7.47,10.41,credible,Glassdoor
System Administrator,"Linux, Windows Server, Bash Scripting",7.7,MS in Systems Engineering,Microsoft Certified Solutions Expert,5.0,6.08,credible,Company Website
QA Engineer,"JIRA, JUnit, Selenium",0.0,MS in Software Testing,Certified Selenium Tester,7.31,9.93,credible,LinkedIn
Backend Developer,"Django, Spring Boot, Node.js",8.8,M.Tech in Software Systems,NA,8.11,12.85,credible,Indeed
Backend Developer,"Django, GraphQL, Flask",10.3,B.Tech in Software Engineering,NA,7.97,13.03,credible,LinkedIn
Cybersecurity Analyst,"Ethical Hacking, Network Security, Penetration Testing",3.6,MS in Information Security,CEH,7.4,11.64,credible,LinkedIn
AI/ML Engineer,"PyTorch, TensorFlow, Reinforcement Learning",6.5,PhD in AI,Google Professional ML Engineer,7.56,13.28,credible,Glassdoor
Data Scientist,"Machine Learning, R, Deep Learning",3.7,BS in Data Science,TensorFlow Developer,8.66,15.46,credible,LinkedIn
QA Engineer,"Selenium, Bug Tracking, Test Automation",5.1,B.Tech in Computer Science,Certified Selenium Tester,7.57,12.75,credible,Indeed
Cybersecurity Analyst,"Penetration Testing, Network Security, SOC",1.2,BS in Cybersecurity,CISSP,6.05,6.63,credible,LinkedIn
System Administrator,"Windows Server, Firewall, Networking",3.6,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.25,11.19,credible,LinkedIn
Embedded Software Engineer,"C, Microcontrollers, RTOS",2.4,MS in IoT,ARM Certified Embedded Developer,8.47,14.37,credible,LinkedIn
Cloud Engineer,"Terraform, Azure, Google Cloud",7.9,MS in Cloud Computing,Azure Fundamentals,7.31,13.09,credible,Indeed
Business Analyst,"Excel, Stakeholder Management, Tableau",5.2,BBA in Business Analytics,Certified Business Analysis Professional,7.71,13.21,credible,Company Website
Cloud Engineer,"Azure, DevOps, AWS",6.1,MS in Cloud Computing,AWS Solutions Architect,6.7,10.54,credible,LinkedIn
Data Scientist,"Statistics, R, Deep Learning",7.2,MS in Artificial Intelligence,AWS Machine Learning,7.83,14.37,credible,LinkedIn
Cloud Engineer,"DevOps, Google Cloud, AWS",3.1,MS in Cloud Computing,Azure Fundamentals,7.54,11.86,credible,Indeed
Cloud Engineer,"Terraform, Google Cloud, AWS",8.0,B.Tech in Computer Science,AWS Solutions Architect,8.27,16.01,credible,Indeed
Frontend Developer,"CSS, React, Angular",5.8,MS in UI/UX Design,NA,7.04,8.44,credible,Company Website
Cloud Engineer,"AWS, Terraform, Azure",5.3,B.Tech in Computer Science,Azure Fundamentals,9.05,17.27,credible,Indeed
Cybersecurity Analyst,"Network Security, SOC, SIEM",6.8,BS in Cybersecurity,CEH,8.35,15.77,credible,Indeed
QA Engineer,"Selenium, Test Automation, JUnit",6.8,MS in Software Testing,Certified Selenium Tester,9.2,18.32,credible,Company Website
System Administrator,"Networking, Bash Scripting, Windows Server",2.7,BS in IT Administration,Red Hat Certified Engineer,8.28,13.92,credible,LinkedIn
System Administrator,"Networking, Firewall, Linux",5.0,MS in Systems Engineering,Microsoft Certified Solutions Expert,5.52,6.56,credible,Company Website
Cloud Engineer,"DevOps, Azure, Google Cloud",11.4,MS in Cloud Computing,AWS Solutions Architect,8.44,17.88,credible,Company Website
DevOps Engineer,"Docker, Terraform, CI/CD",12.4,MS in Cloud Computing,AWS Certified DevOps Engineer,8.18,17.5,credible,Company Website
Cloud Engineer,"Terraform, Azure, DevOps",5.4,MS in Cloud Computing,AWS Solutions Architect,6.46,9.54,credible,Indeed
Embedded Software Engineer,"C++, RTOS, C",5.5,MS in IoT,ARM Certified Embedded Developer,8.73,16.39,credible,Company Website
Product Manager,"JIRA, User Research, Scrum",1.2,BBA in Product Management,Certified Scrum Product Owner,6.85,9.03,credible,Glassdoor
Full Stack Developer,"Express, Node.js, Django",6.6,B.Tech in Computer Applications,NA,8.67,13.65,credible,Glassdoor
Full Stack Developer,"React, Node.js, MongoDB",7.2,B.Tech in Computer Applications,NA,6.25,6.63,credible,LinkedIn
Backend Developer,"Django, Node.js, GraphQL",6.5,M.Tech in Software Systems,NA,6.94,8.42,credible,Company Website
Frontend Developer,"Vue.js, CSS, JavaScript",8.8,MS in UI/UX Design,NA,6.45,7.87,credible,LinkedIn
Backend Developer,"Node.js, Spring Boot, Flask",5.3,M.Tech in Software Systems,NA,6.43,6.41,credible,Company Website
Cybersecurity Analyst,"Network Security, SOC, SIEM",4.7,BS in Cybersecurity,CompTIA Security+,6.76,10.16,credible,Glassdoor
Data Scientist,"Python, Machine Learning, R",6.1,MS in Artificial Intelligence,AWS Machine Learning,7.97,14.35,credible,LinkedIn
Backend Developer,"Flask, Spring Boot, GraphQL",9.4,B.Tech in Software Engineering,NA,8.85,15.31,credible,Glassdoor
Cybersecurity Analyst,"Network Security, SOC, Penetration Testing",0.0,MS in Information Security,CISSP,6.91,8.73,credible,LinkedIn
Full Stack Developer,"React, Express, MongoDB",6.0,B.Tech in Computer Applications,NA,7.39,9.57,credible,Indeed
QA Engineer,"Selenium, JIRA, JUnit",5.3,MS in Software Testing,Certified Selenium Tester,9.08,17.36,credible,Glassdoor
Frontend Developer,"CSS, JavaScript, Vue.js",4.0,MS in UI/UX Design,NA,9.57,15.31,credible,Indeed
Database Administrator,"PostgreSQL, Database Optimization, MongoDB",7.7,BS in Database Management,Oracle Certified DBA,7.36,13.16,credible,Company Website
Frontend Developer,"JavaScript, React, Vue.js",3.9,MS in UI/UX Design,NA,6.37,5.67,credible,LinkedIn
Full Stack Developer,"React, Django, Node.js",4.8,B.Tech in Computer Applications,NA,9.56,15.6,credible,Indeed
System Administrator,"Bash Scripting, Networking, Linux",4.3,BS in IT Administration,Microsoft Certified Solutions Expert,7.55,12.37,credible,LinkedIn
Cloud Engineer,"Azure, DevOps, Google Cloud",4.0,MS in Cloud Computing,Azure Fundamentals,9.04,16.72,credible,Indeed
Frontend Developer,"CSS, React, JavaScript",4.3,MS in UI/UX Design,NA,7.98,10.66,credible,Indeed
Software Engineer,"Data Structures, Algorithms, Python",7.8,B.Tech in Computer Science,NA,8.99,15.09,credible,Indeed
Frontend Developer,"React, CSS, Vue.js",1.5,BS in Web Development,NA,7.74,8.82,credible,Indeed
Software Engineer,"Java, Python, C++",3.3,BS in Software Engineering,NA,7.99,10.29,credible,Glassdoor
Full Stack Developer,"Express, Node.js, MongoDB",4.1,B.Tech in Computer Applications,NA,7.83,10.13,credible,Company Website
Cybersecurity Analyst,"Ethical Hacking, SOC, Penetration Testing",4.8,BS in Cybersecurity,CISSP,6.98,10.86,credible,Company Website
Software Engineer,"Java, Data Structures, Python",2.5,M.Tech in Computer Science,NA,5.0,1.0,credible,Indeed
Embedded Software Engineer,"RTOS, C, Microcontrollers",8.7,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.42,13.74,credible,LinkedIn
Product Manager,"Scrum, Roadmap Planning, JIRA",11.0,MBA in Technology Management,Certified Scrum Product Owner,5.3,8.3,credible,Indeed
Business Analyst,"Excel, Stakeholder Management, Tableau",2.7,MBA in Data Analytics,Certified Business Analysis Professional,7.82,12.54,credible,LinkedIn
AI/ML Engineer,"PyTorch, TensorFlow, Reinforcement Learning",7.6,PhD in AI,Google Professional ML Engineer,6.26,9.82,credible,Company Website
Business Analyst,"Data Analysis, Excel, Stakeholder Management",3.5,MBA in Data Analytics,Certified Business Analysis Professional,8.17,13.91,credible,Glassdoor
Cloud Engineer,"AWS, Azure, DevOps",7.4,B.Tech in Computer Science,Azure Fundamentals,7.34,12.98,credible,Indeed
Backend Developer,"Flask, Node.js, Spring Boot",3.4,B.Tech in Software Engineering,NA,7.86,9.94,credible,LinkedIn
DevOps Engineer,"Kubernetes, Docker, AWS",3.7,MS in Cloud Computing,AWS Certified DevOps Engineer,7.49,11.95,credible,Glassdoor
Business Analyst,"Data Analysis, SQL, Excel",6.6,BBA in Business Analytics,Certified Business Analysis Professional,6.24,9.36,credible,Glassdoor
Business Analyst,"Excel, Data Analysis, Tableau",0.0,MBA in Data Analytics,Certified Business Analysis Professional,5.82,5.46,credible,Indeed
Database Administrator,"SQL, Database Optimization, MySQL",3.1,BS in Database Management,AWS Database Specialty,5.0,4.24,credible,Company Website
Business Analyst,"SQL, Stakeholder Management, Data Analysis",6.7,BBA in Business Analytics,Certified Business Analysis Professional,7.18,12.22,credible,Glassdoor
QA Engineer,"Selenium, Test Automation, JIRA",1.6,B.Tech in Computer Science,ISTQB,6.28,7.48,credible,Glassdoor
Product Manager,"Agile, Scrum, User Research",10.0,MBA in Technology Management,Certified Scrum Product Owner,8.54,17.62,credible,Indeed
Software Engineer,"Java, C++, Python",5.3,BS in Software Engineering,NA,6.98,8.06,credible,LinkedIn
Product Manager,"JIRA, Scrum, User Research",3.0,BBA in Product Management,Certified Scrum Product Owner,6.49,8.67,credible,LinkedIn
DevOps Engineer,"CI/CD, Terraform, Docker",5.7,B.Tech in Information Technology,AWS Certified DevOps Engineer,7.98,14.22,credible,Company Website
Embedded Software Engineer,"C, C++, RTOS",6.8,B.Tech in Embedded Systems,ARM Certified Embedded Developer,6.27,9.53,credible,Company Website
Product Manager,"Agile, Scrum, User Research",2.2,BBA in Product Management,Certified Scrum Product Owner,6.77,9.19,credible,LinkedIn
Full Stack Developer,"Express, MongoDB, Django",5.1,MS in Full Stack Development,NA,7.07,8.25,credible,Company Website
Database Administrator,"MongoDB, Database Optimization, SQL",1.0,BS in Database Management,AWS Database Specialty,10.0,18.4,credible,Company Website
Cybersecurity Analyst,"SIEM, SOC, Penetration Testing",7.4,MS in Information Security,CISSP,8.63,16.85,credible,Glassdoor
Database Administrator,"Database Optimization, MySQL, SQL",8.2,BS in Database Management,AWS Database Specialty,6.05,9.43,credible,LinkedIn
AI/ML Engineer,"Reinforcement Learning, Computer Vision, PyTorch",6.5,BS in AI & ML,Google Professional ML Engineer,9.57,19.31,credible,Company Website
Backend Developer,"Django, Node.js, Spring Boot",2.5,M.Tech in Software Systems,NA,6.55,5.65,credible,Indeed
QA Engineer,"Test Automation, JUnit, JIRA",4.5,B.Tech in Computer Science,Certified Selenium Tester,8.03,13.89,credible,Company Website
QA Engineer,"JIRA, JUnit, Test Automation",1.9,B.Tech in Computer Science,ISTQB,5.66,5.74,credible,Glassdoor
Frontend Developer,"CSS, JavaScript, Angular",7.2,MS in UI/UX Design,NA,5.57,4.59,credible,LinkedIn
Data Scientist,"Statistics, Machine Learning, Python",4.8,PhD in Machine Learning,TensorFlow Developer,8.16,14.4,credible,LinkedIn
Full Stack Developer,"Django, MongoDB, Node.js",9.4,B.Tech in Computer Applications,NA,9.29,16.63,credible,Indeed
Full Stack Developer,"Django, MongoDB, React",11.0,MS in Full Stack Development,NA,9.3,17.3,credible,Glassdoor
Cybersecurity Analyst,"SIEM, SOC, Network Security",3.1,MS in Information Security,CEH,8.27,14.05,credible,Company Website
Data Scientist,"Deep Learning, R, Python",3.9,BS in Data Science,AWS Machine Learning,7.99,13.53,credible,Indeed
Cloud Engineer,"Azure, AWS, Google Cloud",0.0,B.Tech in Computer Science,Azure Fundamentals,6.93,8.79,credible,Indeed
Frontend Developer,"Angular, JavaScript, CSS",0.0,MS in UI/UX Design,NA,7.48,7.44,credible,Indeed
DevOps Engineer,"Kubernetes, AWS, Docker",13.2,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.43,12.57,credible,Indeed
Data Scientist,"Python, R, Machine Learning",8.6,MS in Artificial Intelligence,AWS Machine Learning,9.07,18.65,credible,Company Website
Software Engineer,"C++, Data Structures, Java",4.8,M.Tech in Computer Science,NA,8.43,12.21,credible,Indeed
Full Stack Developer,"React, Django, Express",9.3,B.Tech in Computer Applications,NA,8.96,15.6,credible,Company Website
Data Scientist,"Statistics, Deep Learning, R",9.2,MS in Artificial Intelligence,AWS Machine Learning,6.28,10.52,credible,Glassdoor
Cloud Engineer,"Azure, AWS, Terraform",0.0,MS in Cloud Computing,Azure Fundamentals,6.58,7.74,credible,Indeed
Cybersecurity Analyst,"Network Security, Ethical Hacking, SOC",3.9,MS in Information Security,CISSP,6.09,7.83,credible,LinkedIn
QA Engineer,"Test Automation, JUnit, JIRA",8.7,MS in Software Testing,Certified Selenium Tester,6.98,12.42,credible,Company Website
Cybersecurity Analyst,"SOC, Ethical Hacking, SIEM",6.2,MS in Information Security,CEH,7.57,13.19,credible,Indeed
Cybersecurity Analyst,"Network Security, Penetration Testing, Ethical Hacking",8.3,MS in Information Security,CISSP,5.5,7.82,credible,Company Website
AI/ML Engineer,"TensorFlow, NLP, Computer Vision",12.4,MS in Deep Learning,Deep Learning Specialization,8.06,17.14,credible,Indeed
Frontend Developer,"React, CSS, JavaScript",8.8,BS in Web Development,NA,6.73,8.71,credible,Glassdoor
Frontend Developer,"React, Angular, CSS",2.7,MS in UI/UX Design,NA,6.92,6.84,credible,Indeed
Full Stack Developer,"Django, Node.js, MongoDB",5.6,B.Tech in Computer Applications,NA,7.92,11.0,credible,LinkedIn
Frontend Developer,"CSS, JavaScript, Vue.js",4.4,MS in UI/UX Design,NA,10.0,16.76,credible,Company Website
Cloud Engineer,"AWS, DevOps, Azure",4.6,B.Tech in Computer Science,Azure Fundamentals,5.67,6.85,credible,LinkedIn
AI/ML Engineer,"TensorFlow, NLP, Reinforcement Learning",1.5,BS in AI & ML,Google Professional ML Engineer,5.7,5.7,credible,Company Website
Full Stack Developer,"React, Express, Node.js",6.8,MS in Full Stack Development,NA,8.64,13.64,credible,LinkedIn
DevOps Engineer,"Terraform, Kubernetes, CI/CD",3.3,MS in Cloud Computing,Docker Certified Associate,7.63,12.21,credible,Indeed
Cloud Engineer,"AWS, DevOps, Azure",6.1,B.Tech in Computer Science,AWS Solutions Architect,10.0,20.44,credible,Company Website
Business Analyst,"Excel, Stakeholder Management, Data Analysis",5.6,MBA in Data Analytics,Certified Business Analysis Professional,7.45,12.59,credible,Indeed
Cloud Engineer,"Terraform, Azure, AWS",3.8,B.Tech in Computer Science,Azure Fundamentals,7.82,12.98,credible,Glassdoor
Business Analyst,"Stakeholder Management, Tableau, Excel",0.3,MBA in Data Analytics,Certified Business Analysis Professional,6.83,8.61,credible,Glassdoor
System Administrator,"Firewall, Linux, Bash Scripting",5.8,MS in Systems Engineering,Microsoft Certified Solutions Expert,9.49,18.79,credible,Company Website
QA Engineer,"Bug Tracking, JUnit, JIRA",2.4,B.Tech in Computer Science,ISTQB,6.23,7.65,credible,Indeed
Frontend Developer,"CSS, React, Vue.js",3.8,MS in UI/UX Design,NA,7.67,9.53,credible,Company Website
AI/ML Engineer,"Reinforcement Learning, PyTorch, Computer Vision",3.2,PhD in AI,Deep Learning Specialization,9.64,18.2,credible,Company Website
Full Stack Developer,"MongoDB, Node.js, Django",6.0,B.Tech in Computer Applications,NA,7.97,11.31,credible,LinkedIn
System Administrator,"Windows Server, Bash Scripting, Firewall",4.9,BS in IT Administration,Microsoft Certified Solutions Expert,7.7,13.06,credible,Company Website
Database Administrator,"MySQL, PostgreSQL, SQL",1.8,BS in Database Management,Oracle Certified DBA,6.67,8.73,credible,LinkedIn
Business Analyst,"Tableau, SQL, Data Analysis",3.2,BBA in Business Analytics,Certified Business Analysis Professional,7.39,11.45,credible,Indeed
System Administrator,"Windows Server, Linux, Firewall",4.7,MS in Systems Engineering,Microsoft Certified Solutions Expert,9.29,17.75,credible,Glassdoor
Full Stack Developer,"Express, Django, Node.js",4.7,B.Tech in Computer Applications,NA,5.84,4.4,credible,LinkedIn
Full Stack Developer,"Express, Django, Node.js",0.0,B.Tech in Computer Applications,NA,8.55,10.65,credible,Company Website
QA Engineer,"JUnit, Bug Tracking, JIRA",3.7,MS in Software Testing,Certified Selenium Tester,6.81,9.91,credible,LinkedIn
DevOps Engineer,"Terraform, AWS, Kubernetes",2.3,MS in Cloud Computing,AWS Certified DevOps Engineer,5.14,4.34,credible,LinkedIn
Full Stack Developer,"React, Node.js, Django",4.1,MS in Full Stack Development,NA,8.05,10.79,credible,Company Website
DevOps Engineer,"Docker, Terraform, Kubernetes",0.0,MS in Cloud Computing,AWS Certified DevOps Engineer,7.62,10.86,credible,Indeed
AI/ML Engineer,"TensorFlow, Reinforcement Learning, Computer Vision",1.1,BS in AI & ML,Google Professional ML Engineer,6.49,7.91,credible,LinkedIn
Product Manager,"Roadmap Planning, JIRA, User Research",5.8,MBA in Technology Management,Certified Scrum Product Owner,7.09,11.59,credible,Glassdoor
Backend Developer,"Node.js, GraphQL, Spring Boot",2.0,B.Tech in Software Engineering,NA,5.81,3.23,credible,Company Website
QA Engineer,"Selenium, JIRA, Test Automation",2.2,B.Tech in Computer Science,Certified Selenium Tester,7.5,11.38,credible,LinkedIn
Business Analyst,"SQL, Tableau, Excel",0.7,BBA in Business Analytics,Certified Business Analysis Professional,10.0,18.28,credible,Company Website
Frontend Developer,"CSS, React, Angular",3.5,MS in UI/UX Design,NA,6.43,5.69,credible,Glassdoor
Software Engineer,"Algorithms, Java, Data Structures",3.7,B.Tech in Computer Science,NA,6.49,5.95,credible,Indeed
DevOps Engineer,"CI/CD, Kubernetes, Terraform",3.3,B.Tech in Information Technology,AWS Certified DevOps Engineer,7.34,11.34,credible,Glassdoor
DevOps Engineer,"Terraform, Docker, CI/CD",4.1,B.Tech in Information Technology,Docker Certified Associate,7.09,10.91,credible,LinkedIn
Full Stack Developer,"React, Express, Django",2.7,MS in Full Stack Development,NA,6.84,6.6,credible,LinkedIn
Business Analyst,"Tableau, SQL, Stakeholder Management",3.8,BBA in Business Analytics,Certified Business Analysis Professional,8.38,14.66,credible,Glassdoor
System Administrator,"Bash Scripting, Networking, Windows Server",5.8,BS in IT Administration,Red Hat Certified Engineer,6.14,8.74,credible,Glassdoor
Database Administrator,"MySQL, MongoDB, Database Optimization",4.3,MS in Data Engineering,Oracle Certified DBA,5.73,6.91,credible,LinkedIn
Database Administrator,"MongoDB, MySQL, SQL",1.3,BS in Database Management,AWS Database Specialty,6.33,7.51,credible,Glassdoor
Frontend Developer,"CSS, React, JavaScript",5.2,BS in Web Development,NA,8.46,12.46,credible,Glassdoor
Cybersecurity Analyst,"Network Security, Ethical Hacking, SOC",6.0,MS in Information Security,CISSP,7.95,14.25,credible,LinkedIn
Frontend Developer,"JavaScript, Vue.js, CSS",7.7,BS in Web Development,NA,9.54,16.7,credible,Glassdoor
AI/ML Engineer,"PyTorch, NLP, Computer Vision",4.0,MS in Deep Learning,Google Professional ML Engineer,6.35,8.65,credible,Glassdoor
Database Administrator,"PostgreSQL, MySQL, Database Optimization",3.6,MS in Data Engineering,Oracle Certified DBA,8.87,16.05,credible,Glassdoor
Embedded Software Engineer,"C++, Microcontrollers, IoT",3.4,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.19,10.93,credible,Company Website
Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, SOC",0.1,MS in Information Security,CompTIA Security+,5.44,4.36,credible,LinkedIn
QA Engineer,"Test Automation, Selenium, JUnit",8.0,B.Tech in Computer Science,Certified Selenium Tester,7.61,14.03,credible,Company Website
Frontend Developer,"JavaScript, Vue.js, CSS",6.3,MS in UI/UX Design,NA,7.43,9.81,credible,Indeed
Database Administrator,"Database Optimization, MySQL, MongoDB",7.2,MS in Data Engineering,AWS Database Specialty,8.83,17.37,credible,LinkedIn
Database Administrator,"MySQL, MongoDB, SQL",3.2,MS in Data Engineering,AWS Database Specialty,7.4,11.48,credible,Company Website
Product Manager,"Agile, Scrum, Roadmap Planning",5.7,BBA in Product Management,Certified Scrum Product Owner,7.6,13.08,credible,Indeed
Data Scientist,"Machine Learning, R, Python",0.7,BS in Data Science,TensorFlow Developer,8.99,15.25,credible,Indeed
Database Administrator,"SQL, MongoDB, PostgreSQL",5.5,BS in Database Management,Oracle Certified DBA,6.38,9.34,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, Network Security, Penetration Testing",8.7,BS in Cybersecurity,CISSP,7.41,13.71,credible,Indeed
System Administrator,"Windows Server, Networking, Linux",7.6,BS in IT Administration,Microsoft Certified Solutions Expert,5.48,7.48,credible,Indeed
Embedded Software Engineer,"IoT, RTOS, C",3.8,MS in IoT,ARM Certified Embedded Developer,7.53,12.11,credible,Indeed
Backend Developer,"Spring Boot, Node.js, Flask",4.7,M.Tech in Software Systems,NA,6.94,7.7,credible,LinkedIn
Software Engineer,"Data Structures, Java, Python",5.8,B.Tech in Computer Science,NA,6.68,7.36,credible,LinkedIn
Frontend Developer,"JavaScript, Angular, React",4.3,MS in UI/UX Design,NA,7.54,9.34,credible,LinkedIn
Embedded Software Engineer,"C, IoT, RTOS",6.4,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.28,15.4,credible,Glassdoor
